Unnamed: 0,Unique,Boro,District,Unit,Order,January,February,March,April,May,June,July,August,September,October,November,December,-
0.0,ManhattanBIG APPLE 30Pack 0074 FP,Manhattan,BIG APPLE 30,Pack 0074 FP,1 - Packs,15.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
1.0,ManhattanBIG APPLE 30Pack 0111 FP,Manhattan,BIG APPLE 30,Pack 0111 FP,1 - Packs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,ManhattanBIG APPLE 30Pack 0163 FP,Manhattan,BIG APPLE 30,Pack 0163 FP,1 - Packs,8.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
3.0,ManhattanBIG APPLE 30Pack 0171 FP,Manhattan,BIG APPLE 30,Pack 0171 FP,1 - Packs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,ManhattanBIG APPLE 30Pack 0207 FP,Manhattan,BIG APPLE 30,Pack 0207 FP,1 - Packs,10.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
5.0,ManhattanBIG APPLE 30Pack 0290 FP,Manhattan,BIG APPLE 30,Pack 0290 FP,1 - Packs,20.0,20.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
6.0,ManhattanBIG APPLE 30Pack 0422 BP,Manhattan,BIG APPLE 30,Pack 0422 BP,1 - Packs,71.0,68.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0
7.0,ManhattanBIG APPLE 30Pack 0662 FP,Manhattan,BIG APPLE 30,Pack 0662 FP,1 - Packs,72.0,73.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0
8.0,ManhattanBIG APPLE 30Pack 0777 FP,Manhattan,BIG APPLE 30,Pack 0777 FP,1 - Packs,51.0,47.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0
9.0,ManhattanBIG APPLE 30Pack 3001 FP,Manhattan,BIG APPLE 30,Pack 3001 FP,1 - Packs,29.0,24.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
10.0,ManhattanBIG APPLE 30Pack 3150 BP,Manhattan,BIG APPLE 30,Pack 3150 BP,1 - Packs,25.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
11.0,ManhattanBIG APPLE 30Pack 3414 FP,Manhattan,BIG APPLE 30,Pack 3414 FP,1 - Packs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
